iter	Logloss
0	0.5444597626
1	0.4388836288
2	0.370490188633	0.321253280644	0.281871299755	0.249498214766	0.22505155567	0.2274445915
8	0.2088590622
9	0.1938213158
10	0.1812272072
11	0.1697394943
12	0.1685919571
113	0.1553679752
14	0.153423996
15	0.1448051643
16	0.1380144787
17	0.1353728485
18	0.128423624
19	0.1272804832
20	0.1196556187
21	0.1124992561
222	0.108950243
23	0.1054693985
24	0.1008478165225	0.09637375832226	0.09162992477227	0.08816831582828	0.08462733262929	0.08119080543030	0.07765340803131	0.07523292543232	0.07185665133	33	0.06902622223
34	0.06742753029
35	0.06426049232
36	0.0618072319
37	0.05918832302
38	0.05671427727
39	0.05479924679
40	0.05319137573
41	0.05168908119
42	0.05041018486
43	0.04874176979
44	0.04716855049
45	0.04678039551
46	0.04578763962
47	0.04430267334
48	0.04293781249	49	0.04171203613
50	0.04062184811
51	0.03987077752	52	0.03895451553	53	0.0381529665454	0.03759696485555	0.03657084465656	0.03599876404
57	0.03535184383
58	0.03460030556
59	0.03404877186
60	0.03343792439
61	0.03294308424
62	0.03246809244
63	0.03196722031
64	0.03155596256
65	0.03118385553
66	0.03068079948
67	0.03025989771
68	0.02980954885
69	0.02918302059
70	0.02866416454
71	0.02823801756
72	0.02787660599
73	0.02750333309
74	0.02695097923
75	0.02641874313
76	0.02600994825
77	0.02555010557
78	0.02497710228
79	0.02465302467
80	0.02429774761
81	0.0239564538
82	0.02358710766
83	0.02314218044
84	0.02280050755
85	0.02245740414
86	0.022154603
87	0.02184280396
88	0.02138839483
89	0.02109138966
90	0.02085366249
91	0.02058887005
92	0.02027741432
93	0.02002574205
94	0.01970107079
95	0.01940438032
96	0.01918620348
97	0.0189873004
98	0.01876020551
99	0.01854342699
100	0.01831517458
101	0.01804790258
102	0.01780506134
103	0.01759602666
104	0.01739395857
105	0.01716673374
106	0.01692904353
107	0.01671582818
108	0.01656631112
109	0.0163773489
110	0.01615928769
111	0.01600940943
112	0.01586555719
113	0.015701406
114	0.01555454016
115	0.01539812207
116	0.01525255203
117	0.01508327961
118	0.01494320869
119	0.01484398603
120	0.01472540975
121	0.0146071291
122	0.01446134329
123	0.01434220791
124	0.01423084736
125	0.01411090612
126	0.0139825356
127	0.01385567784
128	0.01378910661
129	0.01370082617
130	0.01353927732
131	0.01343695521
132	0.01330044031
133	0.01320878863
134	0.01310770988
135	0.01299457073
136	0.01286733866
137	0.0127986443
138	0.01270908356
139	0.01256097794
140	0.01246568203
141	0.01240080595
142	0.01227419853
143	0.0121957767
144	0.01207722545
145	0.01199827671
146	0.01189457655
147	0.01177280188
148	0.0116446805
149	0.01155317903
150	0.0114607358
151	0.01137191296
152	0.01125738382
153	0.01112192869
154	0.01099858165
155	0.01088267446
156	0.01077433348
157	0.01067675829
158	0.01057894945
159	0.01051774025
160	0.01042159557
161	0.01034631968
162	0.01026255846
163	0.01016924024
164	0.01006554842
165	0.009961211085
166	0.009888826609
167	0.009822093844
168	0.009754958153
169	0.009680999517
170	0.009602246881
171	0.009523533583
172	0.009449481368
173	0.009394589663
174	0.009322485328
175	0.009260286689
176	0.009187400341
177	0.009115865231
178	0.00904556036
179	0.008991091251
180	0.008923510313
181	0.008845110536
182	0.008783112168
183	0.008690328598
184	0.008629906178
185	0.008566157222
186	0.008504976034
187	0.008446685076
188	0.008398423195
189	0.008353331685
190	0.008287478685
191	0.00822091341
192	0.008156903982
193	0.008084356189
194	0.008009712696
195	0.007944591641
196	0.007904400826
197	0.007838903069
198	0.007796524763
199	0.007737240791
200	0.007679018974
201	0.007633520961
202	0.007589916587
203	0.007541812658
204	0.007504939437
205	0.007454334497
206	0.007410794497
207	0.007373324037
208	0.007320343256
209	0.007281727791
210	0.007234853506
211	0.007186566591
212	0.007149811387
213	0.007105197906
214	0.007060878277
215	0.007015633583
216	0.006977778077
217	0.006936938167
218	0.006904515028
219	0.006859903932
220	0.006822546721
221	0.0067834723
222	0.006744740009
223	0.00670676589
224	0.006661278009
225	0.006609235406
226	0.00656929493
227	0.006525453329
228	0.006483799815
229	0.006449869871
230	0.006410293579
231	0.006370478868
232	0.006337961555
233	0.006304507852
234	0.006268025637
235	0.00623062849
236	0.006192612648
237	0.00616445303
238	0.006131246686
239	0.006095930934
240	0.006069549322
241	0.006030331254
242	0.005997922421
243	0.005969203711
244	0.00593501389
245	0.005907369852
246	0.005874214768
247	0.005842086077
248	0.005815457106
249	0.005790134668
250	0.005759640336
251	0.005730894804
252	0.005699689388
253	0.005667436123
254	0.005636604428
255	0.005614647865
256	0.005586445928
257	0.005562533736
258	0.00553853333
259	0.005512714982
260	0.005491232872
261	0.005466915369
262	0.005437376499
263	0.00541864872
264	0.005391150117
265	0.005366470814
266	0.005342401266
267	0.005317298174
268	0.005289831161
269	0.005264921188
270	0.00524523735
271	0.005220965743
272	0.005199053288
273	0.005177825689
274	0.005152261257
275	0.005131497383
276	0.005107858181
277	0.005084121227
278	0.005063185692
279	0.005041873455
280	0.005022009611
281	0.0050046294929282	0.004978085129283	0.0049524423292284	0.00493845433
285	0.004917374294	286	0.004894710183
287	0.0048769296	0.288	0.00485933125
289	0.004836298	0.0290	0.00482299	0.01291	0.0047300	0.011292	0.00301	0.01116293	0.302	0.0111164294	0303	0.01106488295	304	0.011016612296305	0.010979865729306	0.010930762292307	0.01088789701
308	0.01084346294
309	0.01080933094
310	0.01075730562
311	0.01070971489
312	0.01066370606
313	0304	0.0045390314	0.01057238698
315	0.01052936077
316	0.01047937155
317	0.01044569016
318	0.01040948153
319	0.01037027717
320	0.01033842683
321	0.01029650211
